Tidspunkt,Energimåler energibrønner Retur temperature,Energimåler energibrønner Tur temperature,Energimåler levert fjernkjøling Tur temperature,Energimåler levert fjernvarme Retur temperature,Energimåler levert fjernvarme Tur temperature,Energimåler produsert _IK401 Retur temperature,Energimåler produsert _IK401 Retur temperature (2),Energimåler produsert _IK401 Tur temperature,Energimåler produsert _IK402 Retur temperature,Energimåler produsert _IK402 Retur temperature (2),Energimåler produsert _IK402 Tur temperature,Retur temperature fjernkjølekrets,Tur temperature fra varmepumpe _IK401,Tur temperature fra varmepumpe _IK402,Utetemperatur,El_måler stiger til =434_101 Aktiv effekt,El_måler stiger til fordeling =434_102 Aktiv effekt,El_måler til varmepumpe _IK401 Aktiv effekt,El_måler til varmepumpe _IK402 Aktiv effekt,Nettanalysator inntak Aktiv effekt,Nettanalysator inntak Aktiv effekt (2),Energimåler energibrønner Avgitt effekt,Energimåler kjøling energisentral Avgitt effekt,Energimåler levert fjernkjøling Avgitt effekt,Energimåler levert fjernvarme Avgitt effekt,Energimåler oppvarming energisentral Avgitt effekt,Energimåler produsert _IE401 Avgitt effekt,Energimåler produsert _IE402 Avgitt effekt,Energimåler produsert _IK401 Avgitt effekt,Energimåler produsert _IK401 Avgitt effekt (2),Energimåler produsert _IK402 Avgitt effekt,Energimåler produsert _IK402 Avgitt effekt (2),Energimåler produsert _IP401 Avgitt effekt,Energimåler produsert _IP402 Avgitt effekt,Energimåler produsert _IP403 Avgitt effekt,Energimåler tørrkjølerkrets Avgitt effekt,Energimåler tørrkjølerkrets Avgitt effekt (2),assumed_bore_depth_m,surface_T_proxy,geo_gradient_C_per_km,geo_heatflow_mW_m2,bore_depth_km,geo_baseline_T_at_depth
2025-03-16 23:05:00,4.3,1.7,10.0,41.0,46.6,41.7,3.8,0.8,39.1,4.2,4.1,11.7,46.6,39.7,-0.7,18.0,14.2,310,0,345,18,-680,-31,-120,1150,3,0,0,1170,-860,0,0,0,0,0,0,0,250.0,-0.7,13.0,51.0,0.25,2.55
2025-03-16 23:10:00,4.3,1.7,10.0,41.2,46.6,41.9,3.7,0.8,39.1,4.3,4.1,11.5,46.6,39.5,-0.7,17.8,14.4,298,0,327,17,-660,-31,-110,1120,3,0,0,1140,-840,0,0,0,0,0,0,0,250.0,-0.7,13.0,51.0,0.25,2.55
2025-03-16 23:15:00,4.3,1.7,10.0,41.2,46.4,41.9,3.6,0.9,39.1,4.3,4.2,11.5,46.4,39.5,-0.5,17.9,14.3,285,0,314,17,-630,-31,-110,1040,3,0,0,1080,-810,0,0,0,0,0,0,0,250.0,-0.6333333333333333,13.0,51.0,0.25,2.6166666666666667
2025-03-16 23:20:00,4.4,1.7,10.0,41.1,46.2,41.9,3.5,0.9,39.0,4.3,4.2,11.5,46.2,39.5,-0.4,18.1,14.3,277,0,305,17,-610,-31,-100,1070,4,0,0,1050,-790,0,0,0,0,0,0,0,250.0,-0.575,13.0,51.0,0.25,2.675
2025-03-16 23:25:00,4.4,1.7,10.1,41.0,46.1,41.7,3.5,0.9,39.0,4.3,4.2,11.5,46.0,39.5,-0.2,17.9,14.2,268,0,296,17,-610,-30,-90,1040,3,0,0,1020,-760,0,0,0,0,0,0,0,250.0,-0.5,13.0,51.0,0.25,2.75
2025-03-16 23:30:00,4.4,1.7,10.1,41.0,46.1,41.8,3.5,1.0,39.0,4.3,4.3,11.5,46.0,39.4,-0.1,17.8,14.2,260,0,287,17,-580,-30,-90,990,3,0,0,990,-740,0,0,0,0,0,0,0,250.0,-0.4333333333333333,13.0,51.0,0.25,2.8166666666666664
2025-03-16 23:35:00,4.4,1.7,10.1,41.0,45.9,41.8,3.4,0.9,38.9,4.3,4.3,11.5,45.8,39.4,0.0,17.7,14.1,251,0,278,17,-570,-30,-80,980,3,0,0,970,-730,0,0,0,0,0,0,0,250.0,-0.3714285714285714,13.0,51.0,0.25,2.878571428571429
2025-03-16 23:40:00,4.4,1.7,10.1,40.8,45.7,41.8,3.4,1.0,38.9,4.3,4.3,11.5,45.7,39.4,0.0,17.7,14.0,251,0,277,17,-560,-30,-90,960,2,0,0,950,-720,0,0,0,0,0,0,0,250.0,-0.325,13.0,51.0,0.25,2.925
2025-03-16 23:45:00,4.4,1.7,10.1,40.9,45.6,41.6,3.4,1.0,38.9,4.3,4.4,11.5,45.6,39.4,0.0,17.7,14.0,250,0,276,17,-560,-30,-90,950,2,0,0,950,-720,0,0,0,0,0,0,0,250.0,-0.2888888888888889,13.0,51.0,0.25,2.9611111111111112
2025-03-16 23:50:00,4.5,1.7,10.1,40.8,45.6,41.5,3.5,1.0,38.8,4.2,4.4,11.5,45.5,39.3,-0.1,17.5,14.1,250,0,282,17,-560,-30,-90,960,3,0,0,950,-720,0,0,0,0,0,0,0,250.0,-0.27,13.0,51.0,0.25,2.98
2025-03-16 23:55:00,4.5,1.7,10.1,40.8,45.6,41.5,3.4,1.0,38.8,4.2,4.5,11.4,45.5,39.2,-0.2,17.5,14.9,249,0,280,17,-560,-29,-80,940,2,0,0,950,-720,0,0,0,0,0,0,0,250.0,-0.2636363636363636,13.0,51.0,0.25,2.9863636363636363
2025-03-17 00:00:00,4.5,1.8,10.1,40.8,45.5,41.4,3.5,1.0,38.8,4.1,4.5,11.4,45.5,39.2,-0.1,17.3,14.8,250,0,275,18,-570,-29,-90,940,3,0,0,950,-720,0,0,0,0,0,0,0,250.0,-0.25,13.0,51.0,0.25,3.0
2025-03-17 00:05:00,4.6,1.8,10.1,40.6,45.3,41.3,3.5,1.0,38.8,3.9,4.5,11.5,45.3,39.2,-0.1,17.2,14.4,250,0,275,17,-570,-29,-90,960,2,0,0,950,-730,0,0,0,0,0,0,0,250.0,-0.2384615384615384,13.0,51.0,0.25,3.011538461538461
2025-03-17 00:10:00,4.5,1.8,10.1,40.5,45.3,41.1,3.5,1.1,38.7,4.1,4.5,11.4,45.2,39.2,0.0,17.6,14.8,249,0,274,17,-570,-29,-80,990,2,0,0,960,-720,0,0,0,0,0,0,0,250.0,-0.2214285714285714,13.0,51.0,0.25,3.0285714285714285
2025-03-17 00:15:00,4.6,1.8,10.1,40.5,45.2,41.1,3.5,1.1,38.7,4.1,4.6,11.4,45.2,39.1,0.0,17.6,14.3,248,0,274,17,-570,-29,-90,960,2,0,0,950,-720,0,0,0,0,0,0,0,250.0,-0.2066666666666666,13.0,51.0,0.25,3.043333333333333
2025-03-17 00:20:00,4.6,1.8,10.1,40.5,45.2,41.2,3.5,1.1,38.7,4.2,4.6,11.3,45.2,39.1,0.1,17.5,14.1,249,0,273,17,-570,-29,-80,940,2,0,0,950,-720,0,0,0,0,0,0,0,250.0,-0.1875,13.0,51.0,0.25,3.0625
2025-03-17 00:25:00,4.6,1.8,10.1,40.6,45.2,41.2,3.6,1.1,38.7,4.2,4.7,11.4,45.3,39.1,0.1,17.6,14.4,248,0,274,17,-580,-29,-80,930,2,0,0,950,-730,0,0,0,0,0,0,0,250.0,-0.1705882352941176,13.0,51.0,0.25,3.0794117647058825
2025-03-17 00:30:00,4.6,1.8,10.1,40.5,45.1,41.2,3.6,1.1,38.6,4.1,4.7,11.5,45.2,39.1,0.1,17.7,14.4,250,0,275,17,-570,-29,-90,940,2,0,0,950,-720,0,0,0,0,0,0,0,250.0,-0.1555555555555555,13.0,51.0,0.25,3.094444444444445
2025-03-17 00:35:00,4.6,1.8,10.1,40.4,45.1,41.0,3.5,1.1,38.6,4.2,4.7,11.4,45.0,39.0,0.1,17.7,13.9,248,0,274,18,-570,-29,-90,960,2,0,0,950,-720,0,0,0,0,0,0,0,250.0,-0.1421052631578947,13.0,51.0,0.25,3.107894736842105
2025-03-17 00:40:00,4.6,1.8,10.1,40.2,44.9,40.8,3.6,1.1,38.6,4.2,4.8,11.4,44.9,38.9,0.1,17.9,13.9,247,0,278,17,-570,-29,-90,1000,2,0,0,960,-730,0,0,0,0,0,0,0,250.0,-0.13,13.0,51.0,0.25,3.12
2025-03-17 00:45:00,4.6,1.8,10.1,40.2,45.0,40.9,3.6,1.1,38.5,4.2,4.8,11.4,44.9,38.9,0.2,17.8,14.1,247,0,273,17,-570,-29,-90,950,2,0,0,950,-730,0,0,0,0,0,0,0,250.0,-0.1142857142857142,13.0,51.0,0.25,3.1357142857142857
2025-03-17 00:50:00,4.6,1.8,10.1,40.2,44.9,41.0,3.5,1.1,38.5,4.0,4.8,11.4,44.9,38.9,0.4,17.9,14.7,247,0,273,18,-570,-29,-90,930,2,0,0,950,-730,0,0,0,0,0,0,0,250.0,-0.0909090909090909,13.0,51.0,0.25,3.159090909090909
2025-03-17 00:55:00,4.7,1.8,10.1,40.3,44.8,40.9,3.6,1.1,38.5,4.2,4.9,11.5,44.9,38.8,0.7,18.0,15.5,247,0,273,19,-570,-29,-90,930,2,0,0,950,-730,0,0,0,0,0,0,0,250.0,-0.0565217391304347,13.0,51.0,0.25,3.1934782608695653
2025-03-17 01:00:00,4.7,1.8,10.1,40.3,44.7,40.8,3.6,1.1,38.4,4.3,4.9,11.4,44.9,38.8,0.8,18.0,14.4,247,0,273,17,-570,-29,-80,960,2,0,0,950,-720,0,0,0,0,0,0,0,250.0,-0.0208333333333333,13.0,51.0,0.25,3.2291666666666665
2025-03-17 01:05:00,4.7,1.8,10.1,40.2,44.9,40.8,3.5,1.1,38.4,4.3,4.9,11.3,44.8,38.8,0.8,17.9,14.9,246,0,273,18,-570,-28,-80,960,2,0,0,950,-720,0,0,0,0,0,0,0,250.0,0.0416666666666666,13.0,51.0,0.25,3.2916666666666665
2025-03-17 01:10:00,4.7,1.8,10.1,40.0,44.9,40.7,3.6,1.1,38.4,4.3,5.0,11.3,44.7,38.8,0.7,18.0,14.2,246,0,272,17,-570,-29,-90,980,2,0,0,960,-730,0,0,0,0,0,0,0,250.0,0.0999999999999999,13.0,51.0,0.25,3.35
2025-03-17 01:15:00,4.7,1.8,10.1,40.1,44.8,40.8,3.6,1.1,38.4,4.3,5.0,11.4,44.7,38.8,0.8,18.0,14.4,246,0,272,17,-570,-29,-90,930,2,0,0,950,-730,0,0,0,0,0,0,0,250.0,0.1541666666666666,13.0,51.0,0.25,3.404166666666667
2025-03-17 01:20:00,4.7,1.8,10.1,40.1,44.7,40.8,3.6,1.1,38.3,4.3,5.0,11.4,44.9,38.6,1.0,18.0,14.3,247,0,272,17,-570,-28,-90,930,1,0,0,950,-730,0,0,0,0,0,0,0,250.0,0.2125,13.0,51.0,0.25,3.4625
2025-03-17 01:25:00,4.7,1.8,10.1,40.2,44.7,40.8,3.6,1.1,38.3,4.3,5.1,11.3,44.8,38.6,1.2,17.9,14.3,246,0,276,17,-580,-28,-90,960,2,0,0,960,-730,0,0,0,0,0,0,0,250.0,0.2708333333333333,13.0,51.0,0.25,3.520833333333333
2025-03-17 01:30:00,4.7,1.9,10.1,40.0,44.7,40.7,3.6,1.2,38.3,4.2,5.1,11.3,44.5,38.6,1.2,17.8,14.4,240,0,270,17,-560,-28,-90,950,2,0,0,940,-710,0,0,0,0,0,0,0,250.0,0.325,13.0,51.0,0.25,3.575
2025-03-17 01:35:00,4.7,1.9,10.1,39.9,44.7,40.5,3.6,1.2,38.2,4.3,5.1,11.4,44.4,38.6,1.4,17.9,14.4,233,0,258,17,-560,-28,-90,950,2,0,0,920,-700,0,0,0,0,0,0,0,250.0,0.3833333333333333,13.0,51.0,0.25,3.633333333333333
2025-03-17 01:40:00,4.7,1.9,10.1,40.0,44.4,40.7,3.6,1.2,38.2,4.1,5.2,11.5,44.4,38.4,1.3,17.9,14.5,233,0,258,17,-550,-28,-90,900,2,0,0,910,-700,0,0,0,0,0,0,0,250.0,0.4375,13.0,51.0,0.25,3.6875
2025-03-17 01:45:00,4.7,1.9,10.2,40.0,44.4,40.7,3.6,1.2,38.2,4.3,5.2,11.5,44.5,38.4,1.4,17.7,14.3,233,0,258,17,-550,-28,-90,900,2,0,0,910,-690,0,0,0,0,0,0,0,250.0,0.4958333333333333,13.0,51.0,0.25,3.7458333333333336
2025-03-17 01:50:00,4.7,1.9,10.2,39.9,44.5,40.5,3.6,1.2,38.1,4.3,5.2,11.6,44.4,38.4,1.3,17.7,14.2,234,0,259,17,-550,-28,-100,920,2,0,0,910,-700,0,0,0,0,0,0,0,250.0,0.5541666666666666,13.0,51.0,0.25,3.8041666666666663
2025-03-17 01:55:00,4.7,2.0,10.3,39.7,44.4,40.3,3.6,1.2,38.1,4.3,5.3,11.8,44.2,38.4,1.3,17.5,14.3,232,0,257,17,-550,-27,-100,930,2,0,0,920,-700,0,0,0,0,0,0,0,250.0,0.6166666666666667,13.0,51.0,0.25,3.8666666666666663
2025-03-17 02:00:00,4.7,2.1,10.2,39.6,44.3,40.3,3.6,1.3,38.1,4.3,5.3,11.7,44.1,38.4,1.1,17.7,14.3,232,0,256,17,-510,-28,-100,910,2,0,0,910,-700,0,0,0,0,0,0,0,250.0,0.6666666666666666,13.0,51.0,0.25,3.9166666666666665
2025-03-17 02:05:00,4.7,2.1,10.0,39.7,44.2,40.4,3.6,1.3,38.0,4.3,5.3,11.5,44.1,38.3,0.9,17.6,14.8,231,0,256,17,-510,-28,-110,910,1,0,0,910,-700,0,0,0,0,0,0,0,250.0,0.7083333333333334,13.0,51.0,0.25,3.9583333333333335
2025-03-17 02:10:00,4.8,2.1,10.0,39.7,44.0,40.2,3.6,1.3,38.0,4.3,5.4,11.5,44.1,38.3,0.7,17.9,14.3,231,0,256,17,-520,-28,-110,930,2,0,0,920,-700,0,0,0,0,0,0,0,250.0,0.7374999999999999,13.0,51.0,0.25,3.9875
